Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500
280,4/4/2023,CUST280,Female,37,Clothing,3,500,1500
313,3/21/2023,CUST313,Female,55,Beauty,3,500,1500
356,6/10/2023,CUST356,Male,50,Electronics,3,500,1500
369,11/15/2023,CUST369,Male,23,Electronics,3,500,1500
372,2/7/2023,CUST372,Female,24,Beauty,3,500,1500
385,10/6/2023,CUST385,Male,50,Electronics,3,500,1500
421,1/2/2023,CUST421,Female,37,Clothing,3,500,1500
452,5/8/2023,CUST452,Female,48,Clothing,3,500,1500
463,7/31/2023,CUST463,Female,54,Beauty,3,500,1500
474,7/15/2023,CUST474,Female,26,Clothing,3,500,1500
506,2/25/2023,CUST506,Male,34,Beauty,3,500,1500
507,11/2/2023,CUST507,Female,37,Electronics,3,500,1500
522,1/1/2023,CUST522,Male,46,Beauty,3,500,1500
533,11/16/2023,CUST533,Male,19,Electronics,3,500,1500
580,12/6/2023,CUST580,Female,31,Clothing,3,500,1500
608,12/2/2023,CUST608,Female,55,Electronics,3,500,1500
611,2/24/2023,CUST611,Male,51,Beauty,3,500,1500
636,3/23/2023,CUST636,Female,21,Beauty,3,500,1500
647,5/21/2023,CUST647,Male,59,Clothing,3,500,1500
673,2/1/2023,CUST673,Female,43,Clothing,3,500,1500
676,7/19/2023,CUST676,Male,63,Electronics,3,500,1500
677,10/27/2023,CUST677,Female,19,Beauty,3,500,1500
693,4/23/2023,CUST693,Male,41,Beauty,3,500,1500
710,10/31/2023,CUST710,Female,26,Electronics,3,500,1500
711,10/16/2023,CUST711,Male,26,Electronics,3,500,1500
720,1/26/2023,CUST720,Female,56,Beauty,3,500,1500
805,12/29/2023,CUST805,Female,30,Beauty,3,500,1500
843,5/22/2023,CUST843,Male,21,Beauty,3,500,1500
859,8/18/2023,CUST859,Female,56,Electronics,3,500,1500
869,10/25/2023,CUST869,Male,37,Beauty,3,500,1500
942,3/18/2023,CUST942,Male,51,Clothing,3,500,1500
956,8/19/2023,CUST956,Male,30,Clothing,3,500,1500
